iter	Passed	Remaining
379	2426	3959
380	2433	3953
381	2439	3947
382	2446	3941
383	2453	3935
384	2459	3929
385	2465	3922
386	2472	3915
387	2478	3909
388	2484	3902
389	2491	3896
390	2497	3889
391	2504	3884
392	2510	3878
393	2517	3871
394	2523	3865
395	2529	3858
396	2536	3851
397	2542	3845
398	2548	3839
399	2555	3832
400	2562	3827
401	2569	3821
402	2575	3815
403	2582	3809
404	2588	3802
405	2595	3796
406	2601	3790
407	2607	3783
408	2613	3776
409	2620	3770
410	2626	3763
411	2632	3756
412	2638	3750
413	2644	3743
414	2650	3736
415	2657	3730
416	2663	3723
417	2670	3717
